ID,PAID,RID,APID,APID_ST,AP_Sequence,STARTZEIT,ENDZEIT
321,261,64,1,Arbeitsplatz 1,1,30/05/2018 11:33,30/05/2018 11:34
322,255,64,4,Arbeitsplatz 4,4,30/05/2018 11:34,30/05/2018 11:35
323,260,64,2,Arbeitsplatz 2,2,30/05/2018 11:34,30/05/2018 11:35
324,258,64,3,Arbeitsplatz 3,3,30/05/2018 11:34,30/05/2018 11:35
325,253,64,5,Arbeitsplatz 5,5,30/05/2018 11:34,30/05/2018 11:36
326,262,64,1,Arbeitsplatz 1,1,30/05/2018 11:34,30/05/2018 11:35
327,262,64,1,Arbeitsplatz 1,2,30/05/2018 11:34,30/05/2018 11:35
328,261,64,2,Arbeitsplatz 2,2,30/05/2018 11:35,30/05/2018 11:36
329,259,64,3,Arbeitsplatz 3,3,30/05/2018 11:35,30/05/2018 11:36
330,256,64,4,Arbeitsplatz 4,3,30/05/2018 11:35,30/05/2018 11:37
331,264,64,1,Arbeitsplatz 1,1,30/05/2018 11:35,30/05/2018 11:36
332,262,64,2,Arbeitsplatz 2,3,30/05/2018 11:36,30/05/2018 11:38
333,254,64,5,Arbeitsplatz 5,5,30/05/2018 11:36,30/05/2018 11:37
334,266,64,1,Arbeitsplatz 1,1,30/05/2018 11:36,30/05/2018 11:37
335,260,64,3,Arbeitsplatz 3,3,30/05/2018 11:37,30/05/2018 11:38
336,257,64,4,Arbeitsplatz 4,4,30/05/2018 11:37,30/05/2018 11:38
337,255,64,5,Arbeitsplatz 5,5,30/05/2018 11:37,30/05/2018 11:38
338,265,64,1,Arbeitsplatz 1,1,30/05/2018 11:37,30/05/2018 11:38
339,264,64,2,Arbeitsplatz 2,2,30/05/2018 11:38,30/05/2018 11:39
340,261,64,3,Arbeitsplatz 3,3,30/05/2018 11:38,30/05/2018 11:39
341,258,64,4,Arbeitsplatz 4,4,30/05/2018 11:39,30/05/2018 11:40
342,256,64,5,Arbeitsplatz 5,4,30/05/2018 11:39,30/05/2018 11:40
343,266,64,2,Arbeitsplatz 2,2,30/05/2018 11:39,30/05/2018 11:40
344,262,64,3,Arbeitsplatz 3,4,30/05/2018 11:40,30/05/2018 11:41
345,267,64,1,Arbeitsplatz 1,1,30/05/2018 11:40,30/05/2018 11:41
346,267,64,1,Arbeitsplatz 1,2,30/05/2018 11:40,30/05/2018 11:41
347,257,64,5,Arbeitsplatz 5,5,30/05/2018 11:40,30/05/2018 11:41
348,259,64,4,Arbeitsplatz 4,4,30/05/2018 11:40,30/05/2018 11:41
349,265,64,2,Arbeitsplatz 2,2,30/05/2018 11:40,30/05/2018 11:42
350,268,64,1,Arbeitsplatz 1,1,30/05/2018 11:41,30/05/2018 11:43
351,257,64,5,Arbeitsplatz 5,6,30/05/2018 11:41,30/05/2018 11:41
352,258,64,5,Arbeitsplatz 5,5,30/05/2018 11:41,30/05/2018 11:42
353,264,64,3,Arbeitsplatz 3,3,30/05/2018 11:41,30/05/2018 11:42
354,268,64,1,Arbeitsplatz 1,2,30/05/2018 11:41,30/05/2018 11:43
355,260,64,4,Arbeitsplatz 4,4,30/05/2018 11:41,30/05/2018 11:43
356,268,64,1,Arbeitsplatz 1,3,30/05/2018 11:41,30/05/2018 11:43
357,267,64,2,Arbeitsplatz 2,3,30/05/2018 11:42,30/05/2018 11:43
358,259,64,5,Arbeitsplatz 5,5,30/05/2018 11:42,30/05/2018 11:44
359,266,64,3,Arbeitsplatz 3,3,30/05/2018 11:43,30/05/2018 11:44
360,268,64,1,Arbeitsplatz 1,4,30/05/2018 11:43,30/05/2018 11:43
361,261,64,4,Arbeitsplatz 4,4,30/05/2018 11:43,30/05/2018 11:44
362,267,64,2,Arbeitsplatz 2,4,30/05/2018 11:43,30/05/2018 11:43
363,268,64,2,Arbeitsplatz 2,5,30/05/2018 11:43,30/05/2018 11:45
364,260,64,5,Arbeitsplatz 5,5,30/05/2018 11:44,30/05/2018 11:45
365,265,64,3,Arbeitsplatz 3,3,30/05/2018 11:44,30/05/2018 11:45
366,262,64,4,Arbeitsplatz 4,5,30/05/2018 11:44,30/05/2018 11:45
367,267,64,3,Arbeitsplatz 3,5,30/05/2018 11:45,30/05/2018 11:46
368,261,64,5,Arbeitsplatz 5,5,30/05/2018 11:45,30/05/2018 11:46
369,275,64,1,Arbeitsplatz 1,1,30/05/2018 12:16,30/05/2018 12:16
370,275,64,2,Arbeitsplatz 2,2,30/05/2018 12:16,30/05/2018 12:17
371,275,64,3,Arbeitsplatz 3,3,30/05/2018 12:17,30/05/2018 12:17
372,275,64,4,Arbeitsplatz 4,4,30/05/2018 12:17,30/05/2018 12:17
373,275,64,5,Arbeitsplatz 5,5,30/05/2018 12:17,30/05/2018 12:17
738,401,64,3,Arbeitsplatz 3,1,14/11/2018 10:30,14/11/2018 10:30
739,401,64,2,Arbeitsplatz 2,2,14/11/2018 10:30,14/11/2018 10:30
740,401,64,1,Arbeitsplatz 1,3,14/11/2018 10:30,14/11/2018 10:30
741,401,64,5,Arbeitsplatz 5,4,14/11/2018 10:31,14/11/2018 10:31
742,401,64,4,Arbeitsplatz 4,5,14/11/2018 10:31,14/11/2018 10:31
