"46","31","2","2018-01-10 11:49:11",NULL,NULL,"0"
"47","31","1","2018-01-10 12:00:35",NULL,NULL,"0"
"48","31","1","2018-01-10 12:00:37",NULL,NULL,"0"
"49","31","1","2018-01-10 12:00:39",NULL,NULL,"0"
"50","31","1","2018-01-10 12:00:40",NULL,NULL,"0"
"51","31","1","2018-01-10 12:30:01","2018-01-10 13:35:20",NULL,"12345678"
"52","31","2","2018-01-10 12:42:43","2018-01-10 13:24:26",NULL,"12345678"
"53","31","3","2018-01-10 12:43:22","2018-01-10 13:24:26",NULL,"12345678"
"54","31","1","2018-01-10 12:54:08","2018-01-10 13:24:26","0","12345678"
"55","31","1","2018-01-10 12:54:48","2018-01-10 13:24:26","3","12345678"
"56","31","1","2018-01-10 13:21:10","2018-01-10 13:24:26","3","12345678"
"57","31","3","2018-01-10 13:21:17","2018-01-10 13:24:26","3","12345678"
"58","31","1","2018-01-10 13:22:59","2018-01-10 13:24:26","3","12345678"
"59","31","3","2018-01-10 13:23:21","2018-01-10 13:24:26","3","12345678"
"60","31","1","2018-01-10 13:32:14",NULL,"3","12345678"
"61","31","2","2018-01-10 13:32:20","2018-01-10 13:36:58","3","12345678"
"62","32","1","2018-01-10 13:49:55",NULL,"3","12345678"
"63","32","2","2018-01-10 13:50:57","2018-01-10 13:51:37","3","12345678"
"64","31","1","2018-01-10 14:32:52",NULL,"3","12345678"
"65","31","2","2018-01-10 14:45:54","2018-01-10 14:47:12","3","12345678"
"66","31","1","2018-01-10 14:55:11","2018-01-10 14:56:24","3","12345678"
"67","31","1","2018-01-10 15:56:40",NULL,"3","0"
"68","31","1","2018-01-10 16:27:15",NULL,"3","0"
"69","31","1","2018-01-10 16:39:41","2018-01-10 16:43:54","3","2170209698"
"70","31","2","2018-01-10 16:39:50","2018-01-10 16:43:48","3","2170212491"
"71","31","3","2018-01-10 16:44:12","2018-01-10 16:44:41","3","2170209698"
"72","31","2","2018-01-10 16:44:22","2018-01-10 16:44:39","3","2170212491"
"73","31","1","2018-01-10 17:00:21","2018-01-10 17:01:46","3","2170212491"
