,ProcessId,RoundId,Workstation,Start,End,ProcessDurationInSeconds,Type,ProductionStart,ProductionEnd,ProductionDurationInSeconds
47,2189,243,1,2025-08-29 16:33:51,2025-08-29 16:34:58,67.0,7.0,2025-08-29 16:33:42,2025-08-29 16:39:20,338.0
48,2171,243,3,2025-08-29 16:33:55,2025-08-29 16:35:09,74.0,,,,
49,2152,243,2,2025-08-29 16:33:59,2025-08-29 16:35:04,65.0,,,,
50,2190,243,1,2025-08-29 16:35:38,2025-08-29 16:36:16,38.0,6.0,2025-08-29 16:35:33,2025-08-29 16:41:51,378.0
51,2153,243,2,2025-08-29 16:35:40,2025-08-29 16:36:34,54.0,,,,
52,2162,243,3,2025-08-29 16:35:41,2025-08-29 16:36:39,58.0,,,,
53,2189,243,5,2025-08-29 16:36:13,2025-08-29 16:39:04,171.0,7.0,2025-08-29 16:33:42,2025-08-29 16:39:20,338.0
54,2188,243,4,2025-08-29 16:36:33,2025-08-29 16:38:01,88.0,6.0,2025-08-29 16:32:39,2025-08-29 16:38:14,335.0
55,2167,243,3,2025-08-29 16:39:10,2025-08-29 16:40:13,63.0,,,,
56,2191,243,1,2025-08-29 16:39:10,2025-08-29 16:40:41,91.0,7.0,2025-08-29 16:39:02,2025-08-29 16:43:49,287.0
57,2190,243,5,2025-08-29 16:40:08,2025-08-29 16:41:41,93.0,6.0,2025-08-29 16:35:33,2025-08-29 16:41:51,378.0
58,2150,243,2,2025-08-29 16:40:10,2025-08-29 16:40:12,2.0,,,,
59,2191,243,4,2025-08-29 16:40:52,2025-08-29 16:43:39,167.0,7.0,2025-08-29 16:39:02,2025-08-29 16:43:49,287.0
60,2170,243,3,2025-08-29 16:41:08,2025-08-29 16:42:23,75.0,,,,
61,2144,243,2,2025-08-29 16:41:31,2025-08-29 16:42:30,59.0,,,,
62,2194,243,1,2025-08-29 16:51:07,2025-08-29 16:51:31,24.0,6.0,2025-08-29 16:51:04,2025-08-29 16:53:12,128.0
63,2193,243,3,2025-08-29 16:51:07,2025-08-29 16:51:53,46.0,,,,
64,2194,243,5,2025-08-29 16:51:37,2025-08-29 16:53:06,89.0,6.0,2025-08-29 16:51:04,2025-08-29 16:53:12,128.0
65,2192,243,2,2025-08-29 16:51:49,2025-08-29 16:51:52,3.0,,,,
